Age,Education,Income,Occupation,Gender,Marital Status,Settlement Size,component 1,component 2,component 3,Segment PCA
24,1,155104,1,1,1,1,0.5197900397080982,-0.16808694001917576,-1.174184786182082,1
58,2,142335,0,0,1,1,0.14940000984840185,2.6595829891378036,1.1410897096068289,3
35,1,138387,2,0,1,1,0.7348048923394507,1.0126991201543896,-1.7369304502591023,0
39,1,140182,1,1,0,0,0.5430938040678694,-0.7567930495675298,0.9190392098584914,1
23,1,65421,0,0,1,0,-2.717369609152412,0.49394875465351046,-0.4409608487262226,0
39,1,130500,0,1,0,0,-0.3609365696980504,-0.8114374192040733,1.5806374561322236,2
28,1,122831,1,0,1,0,-1.017090347252433,0.8380216253693001,-1.0499661224276187,0
29,0,84531,0,1,0,0,-1.5336945640189146,-2.2953469601153875,0.8006489627336523,2
30,0,180196,2,1,0,2,2.4969930499114135,-2.0811468620586893,-1.5302859020494788,1
25,0,92058,1,1,0,2,0.37367204350183436,-2.5257796914091144,-0.7876699836652052,1
31,0,117158,1,1,0,0,-0.25810819543314184,-2.1123193061436645,0.14333091829545191,2
57,2,135830,1,1,0,1,1.8178955583115768,0.6898936863835206,1.9700316854873796,3
26,0,58258,0,1,0,0,-1.9789007416119315,-2.4612683268973865,0.7588149690268362,2
52,1,202575,2,1,0,2,3.6789714273788734,-0.35467449776521626,-0.023429899747814356,1
31,1,183657,1,0,1,1,0.47598508815788915,1.031302089314095,-1.522371019239054,0
23,1,152267,2,0,1,1,0.5919039787584554,0.7383595069277136,-2.4215772041546852,0
23,1,115240,0,0,1,0,-2.0314962470812152,0.6569856128681328,-0.6575824546705171,0
27,1,106955,1,1,1,2,0.5125734252637731,-0.3314363085466995,-1.1727475844411683,1
50,1,123641,1,1,0,1,1.1936948993562349,-0.6035272002727984,1.1992354548129904,1
61,2,166410,2,1,0,1,3.120965438028582,0.91951620740987,1.4256633700883854,3
25,0,227385,1,1,0,2,2.2367601116888487,-2.0829107275276595,-1.3760951240257817,1
26,1,118372,1,0,1,1,-0.5619763718440116,0.6844168323851911,-1.4986231271701098,0
48,1,148115,1,1,0,1,1.47497073488332,-0.5767278277967371,0.9887692610411988,1
29,1,111069,1,0,1,0,-1.1511887951955495,0.8261764164923555,-0.9467984074808131,0
22,1,139780,1,1,1,0,-0.31901289670451377,-0.1858113673562183,-0.8476059246555613,0
37,1,106978,1,1,0,2,1.1746341726760285,-1.0901867622352104,0.23137393771467119,1
25,1,110019,1,0,1,2,-0.13263968954267566,0.5447155207915588,-1.8783238382221379,0
30,1,169102,1,0,1,1,0.24776937343961725,0.9570227072190368,-1.51110787841525,0
46,1,73703,0,1,0,0,-0.9480500404488591,-0.8107819058267802,2.1917721795418634,2
51,1,141858,2,1,0,2,2.815229384554244,-0.5800228986864933,0.1885535801755407,1
41,2,135959,0,0,1,0,-0.9837019641851321,2.2714377951877434,0.6483934741370001,0
40,1,140888,2,1,0,2,2.4957165855449186,-0.876313459929132,-0.3794983020828986,1
66,2,157299,2,1,0,2,3.706862055920154,0.9372158162111204,1.3614056335684515,3
34,1,125187,1,1,0,1,0.7696576788602192,-1.0248185562148782,0.36012102072399677,1
51,1,155486,1,1,0,2,2.232114887660193,-0.5583833371926881,0.7487959253962312,1
39,1,151697,0,1,0,0,-0.06911100804841543,-0.7420684578926189,1.488469243578756,2
22,1,126400,1,1,1,1,0.0689481360549083,-0.315317035138554,-1.153423862570833,0
44,2,159246,1,0,1,2,1.3354655131335913,2.2791094486151406,-0.6442811011776396,3
47,1,136138,1,1,0,1,1.2822471321588567,-0.6425704885509961,0.9888228131513718,1
24,1,84792,0,0,1,0,-2.42285055410746,0.5839889008980224,-0.473164788326151,0
58,2,100210,0,0,1,0,-1.0027152805589414,2.6074438865473386,1.6882529623204316,3
52,1,93706,0,1,0,0,-0.5056670881388959,-0.5854388707087238,2.41694274473195,2
29,1,133783,2,0,1,1,0.5044246679552659,0.8377506047907836,-2.0290585238282444,0
27,1,110064,1,0,1,2,-0.07635497659179684,0.5981566334028002,-1.774470486059936,0
47,1,241068,1,1,0,1,2.726850433753242,-0.2991782580272939,0.5325690723750651,1
30,0,149022,2,1,0,2,2.067811087423055,-2.183166393120787,-1.394735972430108,1
28,0,92973,1,1,0,2,0.4697669038182821,-2.442844507621683,-0.6355750316184908,1
56,1,110605,1,1,0,1,1.1812198655671144,-0.48630706522405065,1.5680652913411917,1
54,1,116604,1,1,0,1,1.2081447433418284,-0.5199686806344418,1.4379315845687541,1
33,1,71070,0,0,1,0,-2.361272182701191,0.7789048128813622,0.05472142442662498,0
20,0,128678,1,1,0,1,0.16650021569470017,-2.453453789208016,-0.8430261245398719,1
54,1,165230,1,1,0,2,2.4497612828072586,-0.4465545099925644,0.8625008624108861,1
58,2,268340,1,1,0,1,3.6700337207527656,1.150190704535219,1.4458798570311604,3
61,2,135070,1,0,1,1,0.9036136440729693,2.738707648617108,0.7092534726346137,3
34,1,134794,1,1,0,2,1.47408774901362,-1.0790973374724033,-0.045648358525735504,1
36,1,120153,1,1,0,1,0.7560182502996345,-0.9879988973235445,0.48605874103070285,1
36,1,195465,2,1,0,2,3.135764415797362,-0.8042933401021611,-0.8249065526478275,1
41,1,93372,0,1,1,0,-1.1998420594859445,0.14564688621380137,0.9621489942622254,2
24,0,110446,1,1,0,0,-0.5453424906306589,-2.320813351574038,-0.1916557175990585,2
24,1,95186,1,0,1,1,-0.9368502871411755,0.5552448553257553,-1.5018554194323348,0
35,1,115343,1,1,0,1,0.6619649216867404,-1.0303869491369537,0.4549489408093808,1
26,1,107276,1,1,1,1,-0.08300743410579949,-0.27131423731798077,-0.8621713717671015,0
39,1,244716,2,1,0,2,3.897315725040391,-0.5631745400506137,-0.8829848667229423,1
39,1,183108,2,1,0,2,3.049139605678656,-0.7647918900754325,-0.6151026551366777,1
32,0,152876,1,1,0,2,1.4058001368130069,-2.140219220507327,-0.6879455692368419,1
30,1,165147,1,0,1,0,-0.37884788950315246,1.029798132781527,-1.1299143701544405,0
35,1,140520,1,1,1,0,0.05299860641228549,0.16302034592019105,-0.1745049427965,0
31,1,124203,1,1,1,1,0.289194696262047,-0.08268459349938988,-0.6756503379191426,1
23,1,107205,1,0,1,1,-0.7992136418425866,0.5679311182696454,-1.6061406147125,0
28,0,121432,0,1,0,2,0.09083530567526771,-2.3726692540388936,-0.13982043279495487,1
25,1,162445,1,0,1,0,-0.5552101078803374,0.8877209951975654,-1.3782881578625246,0
35,1,134112,1,1,1,1,0.5369452888306807,0.05633113321468038,-0.5106383394051137,1
47,1,131842,1,1,0,1,1.223102790372432,-0.6566295090630502,1.007502562225755,1
30,1,189896,2,0,1,0,0.73261446696669,1.1337505243117199,-1.8570265315361176,0
27,1,109099,1,0,1,2,-0.08964042580592613,0.5949985899218573,-1.7702744995942052,0
23,1,153539,1,0,1,1,-0.16131933729599096,0.719563021529773,-1.8076088394826275,0
36,1,180495,2,1,1,1,1.9740821113004745,0.2577295283959909,-1.2797943547617954,1
25,1,104653,1,0,1,2,-0.20651504755616554,0.5271548354871635,-1.8549915445691727,0
41,2,166933,2,0,1,2,2.128532337307147,2.2472842438327305,-1.4532782731944704,3
24,0,66118,0,1,0,0,-1.9263549094460313,-2.4888396636362384,0.6205893132256686,2
63,2,135754,1,1,0,0,1.411677223711288,0.9352450039690114,2.6465056923822585,3
27,1,116103,1,0,1,2,0.006785777609370583,0.6179197676840602,-1.800729099807655,0
30,0,104293,1,1,0,1,0.10911040722658637,-2.2667865163756553,-0.2167508384214698,1
40,1,71702,0,1,1,0,-1.5260121484617597,0.04808306954163292,1.0043493824473508,2
30,0,99066,1,1,0,2,0.6093162767142942,-2.3696108074739186,-0.5580194267565377,1
34,1,143979,2,1,0,2,2.3712757722516393,-1.0260794420431438,-0.7050855630653037,1
29,1,123818,1,0,1,0,-0.9756694252153071,0.8678985888639049,-1.002233258725997,0
24,1,176714,1,0,1,2,0.7577381176540797,0.7363335820401654,-2.22034971329536,0
29,0,149249,1,1,0,2,1.2723683456481458,-2.232029651880581,-0.8282482774544769,1
27,0,77535,0,1,0,0,-1.6856758132261798,-2.371535803541174,0.7270197576422228,2
47,1,116540,1,1,0,1,1.0124354910205093,-0.7067065881774474,1.0740382978719862,1
21,1,194728,1,0,1,0,-0.22209057273649307,0.8867821291549529,-1.7267582506378127,0
38,1,109311,1,0,1,2,0.21943675610048705,0.8888085325545941,-1.1989267025782286,0
27,0,204723,1,1,0,2,1.9804306326135803,-2.103780177944167,-1.1735078188300574,1
66,2,126003,0,1,0,0,0.5901946822548694,0.9603155955445132,3.464477492446002,3
35,1,123109,1,1,0,1,0.7688818114244893,-1.0049720624291758,0.42118103314838,1
44,2,108251,0,0,1,0,-1.281668671595132,2.2607018094880895,0.9249461677470454,0
27,1,89908,0,1,1,0,-1.6371882932253023,-0.23874626882291086,0.24886792433985763,2
30,1,176057,2,0,1,1,1.1142563067838471,1.0027427405109874,-2.160848658272353,0
27,0,144332,2,1,0,2,1.919744651165325,-2.278455581198955,-1.5304165732766837,1
22,0,101185,1,1,0,1,-0.15633911328052585,-2.4901330925327483,-0.6194327979804729,1
23,1,107406,1,0,1,2,-0.2242788414385122,0.4828704126786982,-1.9710110833957415,0
30,0,140665,1,1,0,1,0.6098548205077357,-2.147756094107399,-0.3749025687132438,1
39,2,106461,1,0,1,0,-0.6747397800487939,2.1445684805791454,0.053107606619591,0
51,2,127825,1,0,1,0,-0.04662397309705114,2.5342470414144884,0.584507368807177,3
28,0,133898,1,1,0,1,0.46102628411916063,-2.2231955158159473,-0.4495275053079396,1
46,1,152383,1,1,0,2,2.0502319800240794,-0.7017727809277979,0.5021657548619893,1
42,1,119926,1,1,0,0,0.3477210526616948,-0.7431417399096827,1.1631893219735874,2
38,1,108784,1,1,0,2,1.2273305174140583,-1.0576295525117008,0.27554564813605065,1
24,0,153286,1,1,0,1,0.6166164227695368,-2.266334351482149,-0.7419279136525553,1
29,1,214204,1,0,1,2,1.4130373383744026,0.9922573689661509,-2.1232401506337464,1
36,1,208101,2,1,0,2,3.3097280803255877,-0.762940969713354,-0.8798500604001332,1
20,1,95355,1,0,1,1,-1.0458539810776901,0.4492102293380541,-1.7106883004351052,0
48,1,124156,1,1,0,1,1.145119877141017,-0.6551356658899172,1.0929471260489143,1
45,2,72215,0,1,1,0,-1.1182237255759893,1.249999420035569,1.7218658553459794,2
38,1,146529,1,1,0,2,1.746977440302461,-0.934105872523927,0.11142387699717995,1
34,1,75343,0,1,0,0,-1.2594627658235769,-1.1251779462107052,1.5603470570872604,2
36,1,129789,1,1,0,1,0.8886800001725355,-0.9564642786889649,0.4441597507884416,1
30,1,101153,1,0,1,1,-0.6877052261985884,0.7346539025696986,-1.2156539049852557,0
36,1,127833,1,1,0,2,1.4339187239394322,-1.0485839477912018,0.08866829019492226,1
70,2,224998,2,1,0,2,4.75022519779918,1.265354167550796,1.2751367431139986,3
36,1,124445,1,1,0,2,1.3872750949886858,-1.059671462105643,0.10339989863626536,1
32,0,141116,1,1,0,1,0.6717290592419684,-2.092986312425419,-0.2728145745874012,1
33,1,104276,1,0,1,2,0.010955415426345242,0.7390964566897614,-1.4371562038360017,0
20,1,147687,1,0,1,2,0.2467841902919507,0.5347525959803207,-2.3022333498903813,0
25,1,125168,1,0,1,1,-0.49624635996034183,0.6800103895249704,-1.5801978174652889,0
31,1,115369,1,1,1,2,0.7397418970291704,-0.19731309479015258,-1.0012350680346342,1
33,1,95445,1,1,0,0,-0.23980966727035596,-1.063080175315275,0.8014163433662154,2
26,1,95159,1,0,1,1,-0.881556820142024,0.6084503418948957,-1.3976889988498926,0
34,1,153031,2,0,1,2,1.4807482850836158,0.948257420924748,-2.216626084370625,1
33,1,108899,1,1,0,0,-0.05458434734611248,-1.0190508312814819,0.742916030506171,2
26,0,113515,1,1,0,1,0.12474212441495439,-2.343194440153016,-0.4649477250970495,1
53,2,211229,2,0,1,0,1.928024835639852,2.8834466889943497,-0.2935978308335249,3
42,2,121307,1,1,1,0,0.24487835736546418,1.3536755523810908,0.7328326008280237,3
52,1,131727,1,1,0,2,1.9328500830104356,-0.6094897353347888,0.9041286658657025,1
31,0,133574,2,1,0,1,1.3107987815512632,-2.1213558513612782,-0.9115444076258934,1
65,2,117334,1,1,0,0,1.2137486519586478,0.9282578545329823,2.830648049818781,3
28,1,177291,1,1,1,2,1.5087431737782555,-0.07460892291745021,-1.426556135674228,1
30,1,168763,2,1,1,1,1.64556853769524,0.05945403486434011,-1.5409286547270729,1
40,1,77720,0,1,0,0,-1.0597423294185278,-0.9575174752326544,1.8621585108213587,2
50,1,176645,1,1,0,2,2.4955846996086692,-0.5157856572375846,0.6047684334354645,1
36,1,106205,1,1,0,1,0.5639918817621478,-1.0336448978128665,0.5467070511074009,1
31,0,97785,1,1,0,1,0.04734537914982782,-2.261437569347029,-0.1364284218072548,1
74,3,214364,2,0,1,1,3.389400177904936,4.434576030242425,0.8809134071500748,3
68,2,74525,0,1,0,0,-0.06285345438967263,0.8451433669447312,3.7923617364982007,2
20,1,98988,1,1,1,0,-0.9362739818088898,-0.3726004568772978,-0.7742842918238413,0
33,1,133561,1,0,1,1,-0.15803663313543365,0.9206525716890942,-1.2004959495864804,0
54,1,217651,2,1,0,2,3.94219250005781,-0.252043176281376,0.01506607151656319,1
34,1,116525,0,1,0,0,-0.6924976160450578,-0.9904063952965043,1.381280617054382,2
36,1,135302,1,1,0,2,1.5367467241263038,-1.0241410185070932,0.05619178976741601,1
29,1,106434,1,1,1,1,-0.011101728472486742,-0.19412898347460844,-0.702436680632004,0
21,0,128350,1,1,0,2,0.7619847039300768,-2.5135987685241608,-1.1535719000064157,1
34,1,147626,2,0,1,2,1.4063360021796067,0.9305691048475481,-2.1931242119900287,1
28,1,102697,1,0,1,0,-1.2942812638091985,0.7721314207627603,-0.9624200172452098,0
27,1,120262,1,0,1,0,-1.0802911456178002,0.8029674341162991,-1.0908201772289436,0
36,1,124214,1,1,0,2,1.384094847560226,-1.0604274289907183,0.10440432648453875,1
40,1,175223,2,1,1,1,2.0128312484082835,0.3470641586497511,-1.0487727494744405,1
52,1,137467,1,1,0,0,0.8675392688066206,-0.4192681137280725,1.6071631277166212,1
27,1,65815,0,1,1,0,-1.9688839698222103,-0.317592633161113,0.35362844446302144,2
26,0,129864,1,1,0,1,0.3498237919815857,-2.289690965676393,-0.5360359973542861,1
21,1,88475,1,1,1,1,-0.4810094938283383,-0.46607670339904583,-1.0405439303437858,0
38,1,74666,0,1,0,0,-1.1574528627686969,-1.0208057928533858,1.7713888097217305,2
38,1,222294,2,1,0,2,3.560792622790975,-0.6631993398291751,-0.8375146528152988,1
43,1,112878,1,1,0,0,0.2785216799469778,-0.7395599881968175,1.2458597517396102,2
26,0,103411,1,1,0,2,0.5578048479779907,-2.461979123019734,-0.7850102761332894,1
21,1,112868,0,1,1,0,-1.4880865257563698,-0.32348928106867325,-0.16311317611156906,0
55,1,157940,1,1,0,2,2.377230222310346,-0.44376472358787333,0.9462235499227192,1
33,1,115835,1,1,0,2,1.1852408235813323,-1.1677891791426682,-0.015235865997186694,1
45,2,109807,0,0,1,0,-1.2324141530783794,2.2924408732320796,0.9702049212942626,0
50,1,150699,1,1,0,1,1.5662106349374885,-0.5149776246175011,1.0815826032174,1
66,2,178967,2,1,0,0,2.8608368739263383,1.1795631544649494,1.9951824037860424,3
51,1,132767,1,1,0,0,0.7750003437310881,-0.46129618131049327,1.5755750285199306,2
39,2,86152,0,0,1,0,-1.725075302828757,2.0551463616452104,0.7609138820864028,0
31,0,114528,1,1,0,2,0.8500189369633591,-2.2923631917651655,-0.5732263600408786,1
23,0,133912,1,1,0,1,0.3220560658099292,-2.3563843154784148,-0.7097109295351169,1
24,1,81210,0,1,1,0,-1.8404340874625458,-0.34715197324472713,0.13061479888670038,2
64,3,131242,1,0,1,0,0.6238054400992696,3.958842360946231,1.7055928284554907,3
26,1,68804,0,1,1,0,-1.9555660876361471,-0.33445780299744826,0.288607246888088,2
23,1,96961,1,0,1,1,-0.9402459130856333,0.5344067686128758,-1.5615979355882035,0
30,0,90719,1,1,0,2,0.49440058283829774,-2.3969270654380974,-0.521725230871092,1
32,0,114116,1,1,0,1,0.3000118273440516,-2.181346078213468,-0.1554139169970049,1
30,0,128639,1,1,0,1,0.44428921195942656,-2.187112188306181,-0.3226114461879806,1
27,0,106623,1,1,0,1,0.0576904512623144,-2.33910216534893,-0.38295561024154867,1
27,0,236264,1,1,0,1,1.8424976238726047,-1.9148411136256553,-0.9466570417480891,1
53,1,207783,2,1,0,1,3.2063365712138716,-0.22526546259393268,0.36994581382724334,1
22,0,91739,1,1,0,1,-0.28638507522525636,-2.5210459202228934,-0.5783599605138476,1
22,0,107780,1,1,0,2,0.5066238345589292,-2.554268896551518,-1.0121054816501212,1
26,0,139157,1,1,0,2,1.0499309284010623,-2.3449973382841947,-0.9404400504379671,1
51,1,121751,0,1,0,0,-0.1473956147515657,-0.5203061778937496,2.2429737369131297,2
35,1,121974,1,1,0,0,0.18108834825772405,-0.9229679502177118,0.7901126949497478,2
25,1,70320,0,1,1,0,-1.9625274455458477,-0.35614348894510944,0.22999090741058642,2
42,1,78327,0,1,0,0,-0.995720391122218,-0.902237170459454,1.963568190036678,2
30,0,131433,2,1,0,0,0.6813228175545543,-2.069290881738863,-0.5902629942485836,1
23,0,167076,0,1,0,2,0.580067209273516,-2.356530049519559,-0.5984109683499016,1
61,2,130788,0,1,1,0,0.1334900973078364,1.868035248548453,2.2995725067061934,3
35,1,107408,1,0,1,1,-0.46242777356461473,0.8883585308145842,-0.9827291741815676,0
39,1,115323,1,1,0,1,0.7730199440511363,-0.9238647081454584,0.6631339441091519,1
29,1,99012,1,0,1,0,-1.3171811901952966,0.7867188721921147,-0.8943724916079463,0
51,1,115996,1,1,0,1,1.116276445625109,-0.6018991811590242,1.284501743563512,1
24,0,123353,1,1,0,1,0.20451968564359801,-2.364292605901913,-0.6117740661098395,1
27,1,100008,1,0,1,0,-1.3591341387607787,0.7366845194395899,-1.0027522913461329,0
35,1,125105,0,0,1,0,-1.5616906790033294,1.0090327312295206,-0.07618305686693262,0
25,0,92020,1,1,0,2,0.3731488859162004,-2.5259040495980014,-0.7875047531100783,1
52,1,108365,1,1,0,2,1.6112183062845415,-0.6859438408288775,1.0057106718889188,1
35,1,112979,1,1,0,0,0.057251440816177335,-0.9524048425608045,0.8292245066173636,2
26,0,117221,1,1,0,1,0.17576375631916472,-2.3310662441526273,-0.48106205239445715,1
22,1,88800,1,0,1,2,-0.5082659082463566,0.3953337931315145,-1.9421334957608747,0
39,2,115099,0,0,1,0,-1.3265531283195349,2.149877848321753,0.6350473326319878,0
46,2,113399,0,0,1,0,-1.1551294018155465,2.330842917833272,1.0066107956246622,0
24,1,115879,1,0,1,1,-0.651963447153635,0.6229644343424996,-1.5918321530441153,0
35,1,141270,1,1,0,2,1.591077407565104,-1.0312571608514807,-0.021782613694991133,1
24,0,107633,1,1,0,1,-0.011902347150300223,-2.4157376250940668,-0.5434207943572086,1
27,0,131751,0,1,0,0,-0.9392676115751624,-2.1941093938387723,0.4912792372007069,2
35,1,83687,0,1,0,0,-1.116755781746711,-1.0712245828308158,1.5760904156817501,2
29,1,106828,1,1,1,2,0.5664901617744135,-0.278558080369367,-1.0681463466083914,1
23,1,135537,1,0,1,1,-0.40915835983770577,0.6606499658365713,-1.7293330380773562,0
57,2,107142,0,0,1,0,-0.9351129152108971,2.603482515099976,1.6060869205647967,3
27,0,97446,1,1,0,1,-0.068652105668322,-2.3691346679651133,-0.34305243117832446,1
55,2,126357,1,0,1,2,1.1888311360380435,2.4645935909756482,0.07099555387166039,3
36,1,169617,2,1,0,1,2.207739547004922,-0.8031645942581063,-0.3485185037712198,1
57,2,108945,0,0,1,0,-0.9102904645030476,2.609382983904268,1.5982471655412607,3
32,0,67345,0,1,0,0,-1.686801689427807,-2.2716488178290475,1.0314501852634692,2
37,1,106215,1,1,0,0,0.019794574804355737,-0.9212467538477415,0.9626845653548614,2
36,1,149237,1,1,0,0,0.5842589734559491,-0.8071005716917449,0.7235929779533972,1
38,1,112124,1,0,1,0,-0.8861709595020391,1.0694513010331024,-0.48316513981001047,0
45,2,215150,2,1,1,2,3.53541179815787,1.5922476367322502,-0.8666316336328386,3
25,0,89534,1,1,0,1,-0.2332442061503457,-2.448321198259857,-0.4126987102566871,1
32,0,111082,1,1,0,2,0.8304093964448015,-2.27699359277939,-0.5062180476319152,1
37,1,137069,1,0,1,1,0.0015894408636235712,1.0387204887435608,-1.0076512988785207,0
36,1,244541,2,1,0,2,3.811408670338924,-0.6436880117386692,-1.0382974664221345,1
28,0,120712,1,1,0,1,0.27949060190412595,-2.266347807359695,-0.39219250267879296,1
34,1,175367,0,1,1,0,-0.2658200402401834,0.22745394240418443,0.24144902011322256,0
32,0,111418,1,1,0,1,0.26286763876403013,-2.1901755096244364,-0.14368254758297166,1
26,1,110913,1,0,1,0,-1.2368342711041997,0.7457251238987431,-1.1021936224575692,0
49,2,84267,0,1,1,0,-0.8409697986385692,1.396028294086076,1.8775597201853338,2
32,1,136886,1,0,1,2,0.43207463561419357,0.819168495090752,-1.6309746191326067,0
29,0,144884,2,1,0,2,1.9830093876929529,-2.223355268541249,-1.42876774457368,1
23,0,151180,1,1,0,1,0.5597898865659747,-2.2998733363810797,-0.7847951723229307,1
50,1,114997,1,1,0,1,1.0746903159293615,-0.6318154156606461,1.2368210579319308,1
49,1,100961,0,1,0,0,-0.48928306754401074,-0.6416370438854757,2.2293232233328824,2
63,2,124849,1,1,0,2,2.4058799081835205,0.7281204864254331,1.965929541511133,3
37,1,152308,1,1,1,2,1.4152879248733234,0.08345442156443698,-0.8497051523612499,1
35,1,167945,0,0,1,1,-0.3997317656031338,1.0635117313214106,-0.6264552529204294,0
26,0,126706,1,1,0,2,0.8785142152765819,-2.3857442806481566,-0.8863009545987813,1
31,0,210017,2,1,0,2,2.935380441005744,-1.9569082138702838,-1.607928244309394,1
49,2,125665,1,0,1,1,0.44014103624223383,2.388165918858035,0.12585391547948865,3
48,2,111184,1,1,1,1,0.8446750548288308,1.394710229424713,0.7249997248439041,3
26,1,94134,1,1,1,0,-0.8361049270280568,-0.22860404021085368,-0.4410312027180341,0
28,1,214620,2,1,1,1,2.22123065358059,0.1562310692606172,-1.844371821137955,1
44,2,193816,2,0,1,1,2.0099689987579126,2.500920381763237,-1.050100178704629,3
56,1,168714,1,1,0,1,1.981224185135857,-0.29614048632857964,1.315397335344142,1
46,2,202997,2,1,1,1,2.8237627618825103,1.6648413425018183,-0.3977672972271561,3
26,1,192451,1,0,1,2,1.0300593788620738,0.8411280814938535,-2.184727884055696,0
20,1,127928,1,0,1,2,-0.025243986932898914,0.4700896103430594,-2.216317809396728,0
45,1,78253,0,1,0,0,-0.9132413953371424,-0.822538572166999,2.1199634846892046,2
43,1,118446,1,1,0,1,0.9273456056694269,-0.8070567358994511,0.8576526412309006,1
32,0,161379,1,1,0,2,1.5228635302510802,-2.112392439451928,-0.72491808003281,1
54,2,56622,0,0,1,0,-1.7141349343531287,2.35821080605639,1.6696830655466612,0
42,2,146117,1,0,1,1,0.5268818109437913,2.268568342978275,-0.32724647829596765,3
37,1,90418,0,1,0,0,-0.9684228683339996,-0.9959029741433191,1.6508718864865668,2
49,1,109053,1,1,0,0,0.39285729145458703,-0.5921960826786731,1.574638571339473,2
44,1,219319,1,1,0,0,1.7717599713382868,-0.36457596020543837,0.8350604322731705,1
33,1,144701,1,1,1,1,0.6270620960280405,0.03769067798825772,-0.660730157967918,1
24,1,102425,0,0,1,0,-2.18009166706835,0.6416943731254543,-0.5498361140776867,0
33,1,79867,0,1,1,0,-1.608430248883525,-0.11172474493952626,0.6046749842205317,2
24,1,107114,1,0,1,2,-0.20046630234943924,0.5085617413420842,-1.917716907062338,0
