,Tenure,MonthlyCharges,TotalCharges,Churn,Gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
93,65,111.05,7107.0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
94,72,100.9,7459.05,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0
95,12,78.95,927.35,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
96,71,66.85,4748.7,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0
97,5,21.05,113.85,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98,52,21.0,1107.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
99,25,98.5,2514.5,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0
100,1,20.2,20.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101,1,19.45,19.45,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
102,38,95.0,3605.6,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
103,66,45.55,3027.25,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
104,68,110.0,7611.85,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
105,5,24.3,100.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,72,104.15,7303.05,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0
107,32,30.15,927.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
108,43,94.35,3921.3,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
109,72,19.4,1363.25,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
110,55,96.75,5238.9,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
111,52,57.95,3042.25,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
112,43,91.65,3954.1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
113,37,76.5,2868.15,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
114,64,54.6,3423.5,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0
115,3,89.85,248.4,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
116,36,31.05,1126.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
117,10,100.25,1064.65,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0
118,41,20.65,835.15,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
119,27,85.2,2151.6,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0
120,56,99.8,5515.45,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
121,6,20.7,112.75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
122,3,74.4,229.55,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
123,7,50.7,350.35,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
124,4,20.85,62.9,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
125,33,88.95,3027.65,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
126,27,78.05,2135.5,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
127,72,23.55,1723.95,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
128,1,19.75,19.75,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129,71,56.45,3985.35,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
130,13,85.95,1215.65,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
131,25,58.6,1502.65,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0
132,67,50.55,3260.1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
133,1,35.45,35.45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
134,2,44.35,81.25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,43,25.7,1188.2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
136,23,75.0,1778.5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
137,64,20.2,1277.75,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
138,57,19.6,1170.55,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
139,1,70.45,70.45,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
140,72,88.05,6425.65,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
141,8,71.15,563.65,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
142,61,101.05,5971.25,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0
143,64,84.3,5289.05,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
144,71,23.95,1756.2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
145,65,99.05,6416.7,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0
146,3,19.6,61.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
147,1,45.65,45.65,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
148,30,64.5,1929.95,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
149,15,69.5,1071.4,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1
150,8,68.55,564.35,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
151,7,95.0,655.5,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
152,70,108.15,7930.55,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
153,62,86.1,5215.25,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0
154,6,19.7,113.5,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
155,14,80.9,1152.8,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
156,22,84.15,1821.95,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
157,22,20.15,419.9,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
158,16,64.25,1024.0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
159,10,25.7,251.6,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
160,13,56.0,764.55,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
161,20,82.4,1592.35,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
162,2,69.7,135.2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
163,53,73.9,3958.25,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
164,11,20.6,233.9,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
165,69,19.9,1363.45,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
166,4,70.9,273.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
167,72,89.05,6254.45,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0
168,58,45.3,2651.2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
169,16,20.4,321.4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
170,43,84.25,3539.25,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
171,2,104.4,242.8,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0
172,14,81.95,1181.75,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
173,53,94.85,5000.2,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0
174,32,20.55,654.55,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
175,34,24.7,780.2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
176,15,74.45,1145.7,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
177,7,76.45,503.6,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
178,15,105.35,1559.25,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
179,61,20.55,1252.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
180,1,29.95,29.95,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,1,45.3,45.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,8,84.5,662.65,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
183,33,74.75,2453.3,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0
184,13,79.25,1111.65,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
185,1,24.8,24.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
186,20,51.8,1023.85,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
187,3,30.4,82.15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
188,13,19.65,244.8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
189,40,56.6,2379.1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
190,43,71.9,3173.35,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0
191,6,91.0,531.0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
192,69,19.75,1375.4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
193,72,109.7,8129.3,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0
194,59,19.3,1192.7,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
195,20,96.55,1901.65,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0
196,24,24.1,587.4,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
197,59,111.35,6519.75,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0
198,72,112.25,8041.65,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0
199,1,20.75,20.75,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
200,27,101.9,2681.15,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0
201,14,80.05,1112.3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
202,71,105.55,7405.5,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0
203,13,78.3,1033.95,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
204,44,68.85,2958.95,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
205,33,79.95,2684.85,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
206,72,55.45,4179.2,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
207,1,79.9,79.9,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
208,19,106.6,1934.45,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
209,64,102.45,6654.1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0
210,2,46.0,84.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
211,1,25.25,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,61,19.75,1124.2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
213,29,20.0,540.05,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
214,23,86.8,1975.85,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
215,57,58.75,3437.45,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0
216,72,45.25,3139.8,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
217,66,56.6,3789.2,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
218,65,84.2,5324.5,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
219,8,80.0,624.6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
220,4,70.15,268.35,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
221,71,24.75,1836.9,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
222,1,20.2,20.2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
223,4,50.05,179.35,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
224,12,19.35,219.35,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
225,24,50.6,1288.75,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
226,31,81.15,2545.75,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1
227,1,55.2,55.2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
228,30,89.9,2723.15,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0
229,47,85.3,4107.25,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0
230,54,108.0,5760.65,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0
231,50,93.5,4747.5,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0
232,1,84.6,84.6,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
233,72,20.25,1566.9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
234,29,25.15,702.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
235,2,54.4,114.1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
236,10,29.6,299.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
237,18,73.15,1305.95,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
238,11,95.0,1120.3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0
239,16,19.75,284.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
240,72,86.6,6350.5,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
241,72,109.2,7878.3,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0
242,41,74.7,3187.65,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0
243,65,94.4,6126.15,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
244,13,54.8,731.3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
245,4,75.35,273.4,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
246,41,65.0,2531.8,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
